BH-001	BH-002	BH-003	BH-004	BH-005	BH-006	BH-007	BH-008	CUC-001	CUC-002	CUC-003	CUC-004	CUC-005	CUC-006	CUC-007	CUC-008	FC-001	FC-002	FC-003	FC-004	FC-005	FC-006	FC-007	FC-008	FH-001	FH-002	FH-003	FH-004	FH-005	FH-006	FH-007	FH-008	FOC-001	FOC-002	FOC-003	HC-001	HC-002	HC-003	HC-004	HC-005	HC-006	HC-007	HC-008	HC-009	Hos-001	Hos-002	Hos-003	Hos-004	Hos-005	Hos-006	Hos-007	Hos-008	MLC-001	MLC-002	MLC-003	MLC-004	MLC-005	MLC-006	MLC-007	MLC-008	MLLH-001	MLLH-002	MLLH-003	MLLH-004	MLLH-005	MLLH-006	MLLH-007	MLLH-008	PLLC-001	PLLC-002	PLLC-003	PLLC-004	PLLC-005	PLLC-006	PLLC-007	PLLC-008	PWH-001	PWH-002	PWH-003	PWH-004	PWH-005	PWH-006	SCU-001	SCU-002	SCU-003	SCU-004	SCU-005	SCU-006	SCU-007	SCU-008	Kingdom	Phylum	Class	Order	Family	Genus
4	3	24	14	98	6	0	1	172	9	11	8	20	231	1	12	10	15	131	1	6	49	22	0	173	974	7	33	0	3196	0	10	3	8	9	1	427	22	44	846	4	1	3	6	15458	0	14	23	13	1	31	0	4	5	16	61	0	19	4	6	21	30	24	61	2297	93	0	6	11	21	394	13	19	3	63	8	124	7	31	21	2143	24	19	12	22	2	0	0	21	784	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Escherichia/Shigella
30	47	1132	24	150	97	21	0	84	112	13	16	26	6	741	55	112	1	8	0	3	22	155	152	660	280	74	274	88	4	292	544	142	116	292	1	2	3	4	3825	0	0	2	1	3	62	68	21	1	33	211	64	255	100	105	265	0	268	0	370	5039	272	9	3275	422	94	237	44	158	91	1683	63	212	101	643	220	1	29	0	88	1334	727	105	85	346	184	27	56	136	28	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Rikenellaceae_RC9_gut_group
21	14	109	16	59	58	6	92	22	57	170	3266	315	26	85	197	51	496	3067	101	388	2342	63	24	556	2818	30	843	27	1115	201	94	3	6	9	0	4	0	1	2896	2	2	3	3	61	35	21	22	303	2	60	68	68	4	112	106	219	53	103	88	152	196	54	347	21	9	22	11	23	14	1516	50	26	50	90	36	43	1	2	29	1996	144	31	25	67	37	16	20	14	220	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	NA
10	18	1	14	17	39	8	435	24	33	94	1914	889	22	36	69	12	869	4598	466	1371	2797	12	0	65	437	9	62	26	775	12	30	74	32	36	0	1	0	1	180	1	0	2	0	62	24	3	14	1558	11	50	9	86	7	102	14	902	5	937	29	19	425	4658	1	17	30	1	1	11	11	715	34	15	44	70	32	0	2	0	3	2	0	30	23	28	21	7	35	6	43	Bacteria	Patescibacteria	Saccharimonadia	Saccharimonadales	Saccharimonadaceae	Candidatus_Saccharimonas
264	96	0	78	335	287	98	1	70	47	4	63	50	51	52	24	195	5	152	203	69	200	188	266	37	421	240	64	297	4	34	980	217	196	328	1	0	0	0	1670	0	1	2	0	59	302	151	207	2	33	101	132	321	204	275	223	3	206	3	89	256	27	379	1	207	302	290	112	147	98	2520	49	350	204	509	176	1	0	2	1	7718	3	129	83	393	80	18	433	236	19	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotellaceae_UCG-003
118	148	215	42	294	183	39	6	108	85	209	38	4	88	162	232	95	0	15	0	4	11	45	243	253	5778	23	478	156	0	164	633	103	131	68	64	1	112	3	19	4	2	246	2	4	210	51	121	5	73	335	127	455	61	224	228	0	70	7	243	624	1985	465	535	60	76	94	26	103	28	1428	184	232	328	939	326	18	332	138	303	949	6	115	129	260	325	102	163	139	433	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	NA
31	223	0	84	487	337	58	3	128	7	2	78	70	55	1011	603	156	5	23	5	14	35	503	208	150	254	186	314	81	0	89	948	78	138	141	2	4	0	1	645	3	0	2	2	1	643	189	644	2	10	256	160	881	217	1033	380	1	307	1	445	1147	8	0	3	253	170	264	96	399	235	4863	95	726	142	641	365	0	4	7	3	3	1	110	176	449	426	219	235	199	20	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	NA	NA
79	15	113	39	123	78	46	55	57	15	89	356	65	98	412	328	108	14	220	19	9	94	206	204	166	3294	41	511	194	2	315	368	37	118	183	1	1	262	1	608	426	187	483	1	36	100	109	90	30	66	457	40	424	67	164	163	30	177	72	329	511	581	741	808	136	67	182	128	164	150	2688	95	353	201	805	195	159	496	616	226	420	177	106	93	148	128	33	341	67	177	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	NA
184	80	308	73	309	347	75	3	258	326	224	136	66	159	415	187	303	1	21	0	2	55	594	138	211	1007	36	246	181	1	235	213	116	190	200	2	1	3	1	7	92	300	2452	1	19	409	194	114	1	147	314	384	249	180	307	394	1	520	3	495	119	131	75	920	156	260	191	57	204	48	1333	332	235	201	272	355	55	268	1	81	1100	234	209	146	394	185	144	249	195	311	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae_UCG-005
329	400	1129	149	503	579	401	0	119	52	2	51	58	20	331	55	136	1	46	5	2	71	566	202	47	172	228	112	151	5	225	418	85	447	236	0	0	2	1	766	0	1	3	0	103	126	106	143	3	108	162	755	119	141	248	369	0	250	4	67	81	10	91	2987	603	118	237	279	207	193	1648	103	524	177	75	345	84	260	4	121	542	79	115	167	719	394	276	70	136	3	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides
